Date;Time;Severity;TID;This;Function;Message
2019/04/26;11:51:05.533;INFO;4328;0;server::ServerEngine::initServer@51;"Server launched"
2019/04/26;11:51:07.252;INFO;4328;0;server::ServerEngine::startListening@70;"Start listening on IP 127.0.0.1 and port 62111"
2019/04/26;11:51:07.382;INFO;9464;0;server::ServerTCPSocket::acceptConnection@82;"acceptConnection started"
2019/04/26;12:03:12.221;INFO;7532;0;server::ServerEngine::initServer@51;"Server launched"
2019/04/26;12:03:13.873;INFO;7532;0;server::ServerEngine::startListening@70;"Start listening on IP 127.0.0.1 and port 62111"
2019/04/26;12:03:14.008;INFO;2780;0;server::ServerTCPSocket::acceptConnection@82;"acceptConnection started"
2019/04/26;12:04:25.851;INFO;2860;0;server::ServerEngine::initServer@51;"Server launched"
2019/04/26;12:04:27.514;INFO;2860;0;server::ServerEngine::startListening@70;"Start listening on IP 127.0.0.1 and port 62111"
2019/04/26;12:04:27.644;INFO;6316;0;server::ServerTCPSocket::acceptConnection@84;"acceptConnection started"
2019/04/26;12:06:24.411;INFO;10448;0;server::ServerEngine::initServer@51;"Server launched"
2019/04/26;12:06:25.794;INFO;10448;0;server::ServerEngine::startListening@70;"Start listening on IP 127.0.0.1 and port 62111"
2019/04/26;12:06:25.914;INFO;10444;0;server::ServerTCPSocket::acceptConnection@82;"acceptConnection started"
2019/04/26;12:14:25.324;INFO;2728;0;server::ServerEngine::initServer@51;"Server launched"
2019/04/26;12:14:27.174;INFO;2728;0;server::ServerEngine::startListening@70;"Start listening on IP 127.0.0.1 and port 62111"
2019/04/26;12:14:27.310;INFO;4172;0;server::ServerTCPSocket::acceptConnection@82;"acceptConnection started"
2019/04/26;12:16:16.276;INFO;3984;0;server::ServerEngine::initServer@51;"Server launched"
2019/04/26;12:16:17.661;INFO;3984;0;server::ServerEngine::startListening@70;"Start listening on IP 127.0.0.1 and port 62111"
2019/04/26;12:16:17.783;INFO;3392;0;server::ServerTCPSocket::acceptConnection@82;"acceptConnection started"
2019/04/26;12:20:03.643;INFO;4636;0;server::ServerEngine::initServer@51;"Server launched"
2019/04/26;12:20:05.304;INFO;4636;0;server::ServerEngine::startListening@70;"Start listening on IP 127.0.0.1 and port 62111"
2019/04/26;12:20:05.433;INFO;5308;0;server::ServerTCPSocket::acceptConnection@82;"acceptConnection started"
2019/04/26;12:22:16.160;INFO;11108;0;server::ServerEngine::initServer@51;"Server launched"
2019/04/26;12:22:17.823;INFO;11108;0;server::ServerEngine::startListening@70;"Start listening on IP 127.0.0.1 and port 62111"
2019/04/26;12:22:17.953;INFO;10448;0;server::ServerTCPSocket::acceptConnection@82;"acceptConnection started"
2019/04/26;12:24:38.216;INFO;7528;0;server::ServerEngine::initServer@51;"Server launched"
2019/04/26;12:24:39.670;INFO;7528;0;server::ServerEngine::startListening@70;"Start listening on IP 127.0.0.1 and port 62111"
2019/04/26;12:24:39.790;INFO;9532;0;server::ServerTCPSocket::acceptConnection@82;"acceptConnection started"
